anno,dt_ince,comune,sup_tot_ha,geom
2017,2017-06-24,2017/CA/4217,1.0920,POINT(8.912302966825683 39.4313881853279)
2017,2017-06-24,2017/CA/4218,1.7799,POINT(9.2740421212965 39.26911561219283)
2017,2017-06-24,2017/CA/4219,0.4592,POINT(9.026538893726581 39.28949628714925)
2017,2017-06-24,2017/CA/4221,7.4034,POINT(9.114903463434159 39.56786368987017)
2017,2017-09-04,2017/CA/5283,1.4773,POINT(8.88040601359152 39.50542292660185)
2017,2017-06-24,2017/CA/4228,3.2904,POINT(8.954671976035126 39.64289734857184)
2017,2017-06-25,2017/CA/4257,0.9726,POINT(9.280348080128057 39.271641446367646)
2017,2017-06-26,2017/CA/4261,0.4813,POINT(8.978350910662305 39.17105754733605)
2017,2017-06-26,2017/CA/4266,64.8591,POINT(8.963472527866443 39.648959544546855)
2017,2017-09-06,2017/CA/5302,0.4382,POINT(8.927253812476051 39.46552843400332)
2017,2017-06-24,2017/CA/4231,3.6328,POINT(9.083045486236006 39.26378219930935)
2017,2017-06-24,2017/CA/4233,0.4602,POINT(8.842558000081423 39.60404284941746)
2017,2017-06-26,2017/CA/4270,3.7861,POINT(8.994356305191294 39.48040954956958)
2017,2017-06-24,2017/CA/4237,2.0784,POINT(9.210652326568244 39.68888618463734)
2017,2017-06-25,2017/CA/4245,0.4606,POINT(8.932910571332165 39.43338449958785)
2017,2017-06-25,2017/CA/4248,6.3824,POINT(8.730385162241285 39.584235136173454)
2017,2017-06-25,2017/CA/4249,0.6712,POINT(8.79039290001804 39.61281888711264)
